Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C25, C26, C28, C29, C30, C31, C32, C33, C34, C35, C36, C6, C7, C8, C9",0603,25,100nF,
C19,0603,1,10uF/10V/10%/X5R/C0603,
"C20, C21, C37",0603,3,4.7uF/16V/10%/X5R/C0603,
"C22, C23",0603,2,15pF/50V/5%/C0G/C0603,
"C27, C4",0805,2,10uF,
C5,1206,1,22uF,
D1,SOT-23-6,1,USBLC6-2SC6,
D2,0603,1,GRN,
D3,0603,1,RED,
"D4, D5, D6, D7, D8",D_SOD-323,5,H5VSD3B/VRWM5V/SOD-323,
F1,1206,1,750mA/Rmax290mR/F1206,
FB1,0603,1,600R@100MHz,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB-C,
J4,IDC-Header_2x05_P2.54mm_Horizontal,1,DUT,
L1,L_Abracon_AOTA-B201610S_0806_2016Metric_Polarized,1,3.3uH/20%/Isat2.4A/DCR140m/POL,
Q1,SOT-23,1,2N7002,
"R1, R2",0603,2,5k1,
"R10, R9",0603,2,470R,
"R13, R14, R16, R17, R18, R22, R23, R24, R29, R31, R33, R8",0603,12,10k,
R15,0603,1,750R/1%/ILIM333mA,
"R19, R6, R7",0603,3,1k,
R20,0603,1,100k,
R21,1206,1,150R/1%/250mW/R1206,
"R25, R26, R27, R28, R30",0603,5,22R,
"R3, R4",0603,2,27R,
R32,0603,1,330R,
R5,0603,1,33R/1%/R0603,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,BOOTSEL,
SW2,SW_Push_1P1T_NO_CK_KMR2,1,RESET,
U1,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2354A,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,TSSOP-8_4.4x3mm_P0.65mm,1,TPS2114APW,
U4,TSSOP-24_4.4x7.8mm_P0.65mm,1,SN74LVC8T245PW,
"U5, U6",SOT-23-6,2,SN74LVC1T45DBV,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz/CL10pF/ESR50R/ABM8-272-T3,
